"","av","Time","SharePerHour"
"390","Nonsocial leisure",40,0.3
"391","Paid work",40,0.02
"392","Personal care",40,82.15
"393","Religion and volunteering",40,0.05
"394","Social leisure",40,0.17
"395","TV/radio",40,0.4
"396","Cultural leisure",41,0.02
"397","Domestic work",41,0.05
"398","Eat drink",41,0.3
"399","Miscellaneous",41,16.32
"400","Nonsocial leisure",41,0.27
"401","Paid work",41,0.02
"402","Personal care",41,82.37
"403","Religion and volunteering",41,0.05
"404","Social leisure",41,0.17
"405","TV/radio",41,0.42
"406","Cultural leisure",42,0.02
"407","Domestic work",42,0.05
"408","Eat drink",42,0.3
"409","Miscellaneous",42,16.32
"410","Nonsocial leisure",42,0.27
"411","Paid work",42,0.02
"412","Personal care",42,82.37
"413","Religion and volunteering",42,0.05
"414","Social leisure",42,0.17
"415","TV/radio",42,0.42
"416","Cultural leisure",43,0.02
"417","Domestic work",43,0.05
"418","Eat drink",43,0.3
"419","Miscellaneous",43,16.32
"420","Nonsocial leisure",43,0.27
"421","Paid work",43,0.02
"422","Personal care",43,82.37
"423","Religion and volunteering",43,0.05
"424","Social leisure",43,0.17
"425","TV/radio",43,0.42
"426","Cultural leisure",44,0.02
"427","Domestic work",44,0.05
"428","Eat drink",44,0.3
"429","Miscellaneous",44,16.29
"430","Nonsocial leisure",44,0.27
"431","Paid work",44,0.02
"432","Personal care",44,82.4
"433","Religion and volunteering",44,0.05
"434","Social leisure",44,0.17
"435","TV/radio",44,0.42
"436","Cultural leisure",45,0.02
"437","Domestic work",45,0.05
"438","Eat drink",45,0.3
"439","Miscellaneous",45,16.29
"440","Nonsocial leisure",45,0.27
"441","Paid work",45,0.02
"442","Personal care",45,82.4
"443","Religion and volunteering",45,0.05
"444","Social leisure",45,0.17
"445","TV/radio",45,0.42
"446","Cultural leisure",46,0.02
"447","Domestic work",46,0.05
"448","Eat drink",46,0.3
"449","Miscellaneous",46,16.04
"450","Nonsocial leisure",46,0.27
"451","Paid work",46,0.02
"452","Personal care",46,82.64
"453","Religion and volunteering",46,0.05
"454","Social leisure",46,0.2
"455","Sport exercise",46,0.02
"456","TV/radio",46,0.37
"457","Cultural leisure",47,0.02
"458","Domestic work",47,0.05
"459","Eat drink",47,0.3
"460","Miscellaneous",47,16.02
"461","Nonsocial leisure",47,0.27
"462","Paid work",47,0.02
"463","Personal care",47,82.67
"464","Religion and volunteering",47,0.05
"465","Social leisure",47,0.2
"466","Sport exercise",47,0.02
"467","TV/radio",47,0.37
"468","Cultural leisure",48,0.02
"469","Domestic work",48,0.05
"470","Eat drink",48,0.3
"471","Miscellaneous",48,16.02
"472","Nonsocial leisure",48,0.27
"473","Paid work",48,0.02
"474","Personal care",48,82.67
"475","Religion and volunteering",48,0.05
"476","Social leisure",48,0.2
"477","Sport exercise",48,0.02
"478","TV/radio",48,0.37
"479","Cultural leisure",49,0.02
"480","Domestic work",49,0.05
"481","Eat drink",49,0.3
"482","Miscellaneous",49,16.02
"483","Nonsocial leisure",49,0.27
"484","Paid work",49,0.02
"485","Personal care",49,82.67
"486","Religion and volunteering",49,0.05
"487","Social leisure",49,0.2
"488","Sport exercise",49,0.02
"489","TV/radio",49,0.37
"490","Cultural leisure",50,0.02
"491","Domestic work",50,0.05
"492","Eat drink",50,0.3
"493","Miscellaneous",50,16.02
"494","Nonsocial leisure",50,0.27
"495","Paid work",50,0.02
"496","Personal care",50,82.67
"497","Religion and volunteering",50,0.05
"498","Social leisure",50,0.2
"499","Sport exercise",50,0.02
"500","TV/radio",50,0.37
"501","Cultural leisure",51,0.02
"502","Domestic work",51,0.02
"503","Eat drink",51,0.25
"504","Miscellaneous",51,15.89
"505","Nonsocial leisure",51,0.3
"506","Paid work",51,0.02
"507","Personal care",51,82.84
"508","Religion and volunteering",51,0.05
"509","Social leisure",51,0.2
"510","Sport exercise",51,0.02
"511","TV/radio",51,0.37
"512","Cultural leisure",52,0.02
"513","Domestic work",52,0.02
"514","Eat drink",52,0.25
"515","Miscellaneous",52,15.89
"516","Nonsocial leisure",52,0.3
"517","Paid work",52,0.02
"518","Personal care",52,82.84
"519","Religion and volunteering",52,0.05
"520","Social leisure",52,0.2
"521","Sport exercise",52,0.02
"522","TV/radio",52,0.37
"523","Cultural leisure",53,0.02
"524","Domestic work",53,0.02
"525","Eat drink",53,0.25
"526","Miscellaneous",53,15.89
"527","Nonsocial leisure",53,0.3
"528","Paid work",53,0.02
"529","Personal care",53,82.84
"530","Religion and volunteering",53,0.05
"531","Social leisure",53,0.2
"532","Sport exercise",53,0.02
"533","TV/radio",53,0.37
"534","Cultural leisure",54,0.02
"535","Domestic work",54,0.02
"536","Eat drink",54,0.25
"537","Miscellaneous",54,15.89
"538","Nonsocial leisure",54,0.3
"539","Paid work",54,0.02
"540","Personal care",54,82.84
"541","Religion and volunteering",54,0.05
"542","Social leisure",54,0.2
"543","Sport exercise",54,0.02
"544","TV/radio",54,0.37
"545","Cultural leisure",55,0.02
"546","Domestic work",55,0.02
"547","Eat drink",55,0.25
"548","Miscellaneous",55,15.89
"549","Nonsocial leisure",55,0.3
"550","Paid work",55,0.02
"551","Personal care",55,82.84
"552","Religion and volunteering",55,0.05
"553","Social leisure",55,0.2
"554","Sport exercise",55,0.02
"555","TV/radio",55,0.37
"556","Cultural leisure",56,0.02
"557","Domestic work",56,0.02
"558","Eat drink",56,0.27
"559","Miscellaneous",56,15.87
"560","Nonsocial leisure",56,0.3
"561","Paid work",56,0.02
"562","Personal care",56,82.84
"563","Religion and volunteering",56,0.05
"564","Social leisure",56,0.2
"565","Sport exercise",56,0.02
"566","TV/radio",56,0.37
"567","Cultural leisure",57,0.02
"568","Domestic work",57,0.02
"569","Eat drink",57,0.27
"570","Miscellaneous",57,15.87
"571","Nonsocial leisure",57,0.3
"572","Paid work",57,0.02
"573","Personal care",57,82.84
"574","Religion and volunteering",57,0.05
"575","Social leisure",57,0.2
"576","Sport exercise",57,0.02
"577","TV/radio",57,0.37
"578","Cultural leisure",58,0.02
"579","Domestic work",58,0.02
"580","Eat drink",58,0.27
"581","Miscellaneous",58,15.87
"582","Nonsocial leisure",58,0.3
"583","Paid work",58,0.02
"584","Personal care",58,82.84
"585","Religion and volunteering",58,0.05
"586","Social leisure",58,0.2
"587","Sport exercise",58,0.02
"588","TV/radio",58,0.37
"589","Cultural leisure",59,0.02
"590","Domestic work",59,0.02
"591","Eat drink",59,0.27
"592","Miscellaneous",59,15.87
"593","Nonsocial leisure",59,0.3
"594","Paid work",59,0.02
"595","Personal care",59,82.84
"596","Religion and volunteering",59,0.05
"597","Social leisure",59,0.2
"598","Sport exercise",59,0.02
"599","TV/radio",59,0.37
"600","Cultural leisure",60,0.02
"601","Domestic work",60,0.02
"602","Eat drink",60,0.27
"603","Miscellaneous",60,15.87
"604","Nonsocial leisure",60,0.3
"605","Paid work",60,0.02
"606","Personal care",60,82.84
"607","Religion and volunteering",60,0.05
"608","Social leisure",60,0.2
"609","Sport exercise",60,0.02
"610","TV/radio",60,0.37
"611","Cultural leisure",61,0.05
"612","Domestic work",61,0.05
"613","Eat drink",61,0.3
"614","Miscellaneous",61,15.25
"615","Nonsocial leisure",61,0.27
"616","Paid work",61,0.02
"617","Personal care",61,83.41
"618","Religion and volunteering",61,0.07
"619","Social leisure",61,0.17
"620","Sport exercise",61,0.02
"621","TV/radio",61,0.37
"622","Cultural leisure",62,0.05
"623","Domestic work",62,0.05
"624","Eat drink",62,0.3
"625","Miscellaneous",62,15.25
"626","Nonsocial leisure",62,0.27
"627","Paid work",62,0.02
"628","Personal care",62,83.41
"629","Religion and volunteering",62,0.07
"630","Social leisure",62,0.17
"631","Sport exercise",62,0.02
"632","TV/radio",62,0.37
"633","Cultural leisure",63,0.05
"634","Domestic work",63,0.05
"635","Eat drink",63,0.3
"636","Miscellaneous",63,15.25
"637","Nonsocial leisure",63,0.27
"638","Paid work",63,0.02
"639","Personal care",63,83.41
"640","Religion and volunteering",63,0.07
"641","Social leisure",63,0.17
"642","Sport exercise",63,0.02
"643","TV/radio",63,0.37
"644","Cultural leisure",64,0.05
"645","Domestic work",64,0.05
"646","Eat drink",64,0.3
"647","Miscellaneous",64,15.25
"648","Nonsocial leisure",64,0.27
"649","Paid work",64,0.02
"650","Personal care",64,83.41
"651","Religion and volunteering",64,0.07
"652","Social leisure",64,0.17
"653","Sport exercise",64,0.02
"654","TV/radio",64,0.37
"655","Cultural leisure",65,0.05
"656","Domestic work",65,0.05
"657","Eat drink",65,0.3
"658","Miscellaneous",65,15.25
"659","Nonsocial leisure",65,0.27
"660","Paid work",65,0.02
"661","Personal care",65,83.41
"662","Religion and volunteering",65,0.07
"663","Social leisure",65,0.17
"664","Sport exercise",65,0.02
"665","TV/radio",65,0.37
"666","Cultural leisure",66,0.05
"667","Domestic work",66,0.07
"668","Eat drink",66,0.32
"669","Miscellaneous",66,15.2
"670","Nonsocial leisure",66,0.22
"671","Paid work",66,0.02
"672","Personal care",66,83.46
"673","Religion and volunteering",66,0.05
"674","Social leisure",66,0.2
"675","Sport exercise",66,0.02
"676","TV/radio",66,0.37
"677","Cultural leisure",67,0.05
"678","Domestic work",67,0.07
"679","Eat drink",67,0.3
"680","Miscellaneous",67,15.2
"681","Nonsocial leisure",67,0.22
"682","Paid work",67,0.02
"683","Personal care",67,83.49
"684","Religion and volunteering",67,0.05
"685","Social leisure",67,0.2
"686","Sport exercise",67,0.02
"687","TV/radio",67,0.37
"688","Cultural leisure",68,0.05
"689","Domestic work",68,0.07
"690","Eat drink",68,0.3
"691","Miscellaneous",68,15.2
"692","Nonsocial leisure",68,0.22
"693","Paid work",68,0.02
"694","Personal care",68,83.49
"695","Religion and volunteering",68,0.05
"696","Social leisure",68,0.2
"697","Sport exercise",68,0.02
"698","TV/radio",68,0.37
"699","Cultural leisure",69,0.05
"700","Domestic work",69,0.07
"701","Eat drink",69,0.3
"702","Miscellaneous",69,15.17
"703","Nonsocial leisure",69,0.22
"704","Paid work",69,0.02
"705","Personal care",69,83.49
"706","Religion and volunteering",69,0.05
"707","School / Study",69,0.02
"708","Social leisure",69,0.2
"709","Sport exercise",69,0.02
"710","TV/radio",69,0.37
"711","Cultural leisure",70,0.05
"712","Domestic work",70,0.07
"713","Eat drink",70,0.3
"714","Miscellaneous",70,15.17
"715","Nonsocial leisure",70,0.22
"716","Paid work",70,0.02
"717","Personal care",70,83.49
"718","Religion and volunteering",70,0.05
"719","School / Study",70,0.02
"720","Social leisure",70,0.2
"721","Sport exercise",70,0.02
"722","TV/radio",70,0.37
"723","Cultural leisure",71,0.05
"724","Domestic work",71,0.07
"725","Eat drink",71,0.35
"726","Miscellaneous",71,15.05
"727","Nonsocial leisure",71,0.22
"728","Paid work",71,0.05
"729","Personal care",71,83.54
"730","Religion and volunteering",71,0.05
"731","School / Study",71,0.02
"732","Social leisure",71,0.2
"733","Sport exercise",71,0.02
"734","TV/radio",71,0.37
"735","Cultural leisure",72,0.05
"736","Domestic work",72,0.07
"737","Eat drink",72,0.35
"738","Miscellaneous",72,15.05
"739","Nonsocial leisure",72,0.22
"740","Paid work",72,0.05
"741","Personal care",72,83.54
"742","Religion and volunteering",72,0.05
"743","School / Study",72,0.02
"744","Social leisure",72,0.2
"745","Sport exercise",72,0.02
"746","TV/radio",72,0.37
"747","Cultural leisure",73,0.05
"748","Domestic work",73,0.07
"749","Eat drink",73,0.35
"750","Miscellaneous",73,15.05
"751","Nonsocial leisure",73,0.22
"752","Paid work",73,0.05
"753","Personal care",73,83.54
"754","Religion and volunteering",73,0.05
"755","School / Study",73,0.02
"756","Social leisure",73,0.2
"757","Sport exercise",73,0.02
"758","TV/radio",73,0.37
"759","Cultural leisure",74,0.05
"760","Domestic work",74,0.07
"761","Eat drink",74,0.35
"762","Miscellaneous",74,15.05
"763","Nonsocial leisure",74,0.22
"764","Paid work",74,0.05
"765","Personal care",74,83.54
"766","Religion and volunteering",74,0.05
"767","School / Study",74,0.02
"768","Social leisure",74,0.2
"769","Sport exercise",74,0.02
"770","TV/radio",74,0.37
"771","Cultural leisure",75,0.05
"772","Domestic work",75,0.07
"773","Eat drink",75,0.35
"774","Miscellaneous",75,15.05
"775","Nonsocial leisure",75,0.22
"776","Paid work",75,0.05
"777","Personal care",75,83.54
"778","Religion and volunteering",75,0.05
"779","School / Study",75,0.02
"780","Social leisure",75,0.2
"781","Sport exercise",75,0.02
"782","TV/radio",75,0.37
"783","Cultural leisure",76,0.05
"784","Domestic work",76,0.12
"785","Eat drink",76,0.32
"786","Miscellaneous",76,14.95
"787","Nonsocial leisure",76,0.2
"788","Paid work",76,0.07
"789","Personal care",76,83.59
"790","Religion and volunteering",76,0.05
"791","School / Study",76,0.02
"792","Social leisure",76,0.2
"793","Sport exercise",76,0.02
"794","TV/radio",76,0.4
"795","Cultural leisure",77,0.05
"796","Domestic work",77,0.12
"797","Eat drink",77,0.32
"798","Miscellaneous",77,14.95
"799","Nonsocial leisure",77,0.2
"800","Paid work",77,0.07
"801","Personal care",77,83.59
"802","Religion and volunteering",77,0.05
"803","School / Study",77,0.02
"804","Social leisure",77,0.2
"805","Sport exercise",77,0.02
"806","TV/radio",77,0.4
"807","Cultural leisure",78,0.05
"808","Domestic work",78,0.12
"809","Eat drink",78,0.32
"810","Miscellaneous",78,14.95
"811","Nonsocial leisure",78,0.2
"812","Paid work",78,0.07
"813","Personal care",78,83.59
"814","Religion and volunteering",78,0.05
"815","School / Study",78,0.02
"816","Social leisure",78,0.2
"817","Sport exercise",78,0.02
"818","TV/radio",78,0.4
"819","Cultural leisure",79,0.05
"820","Domestic work",79,0.12
"821","Eat drink",79,0.32
"822","Miscellaneous",79,14.95
"823","Nonsocial leisure",79,0.2
"824","Paid work",79,0.07
"825","Personal care",79,83.59
"826","Religion and volunteering",79,0.05
"827","School / Study",79,0.02
"828","Social leisure",79,0.2
"829","Sport exercise",79,0.02
"830","TV/radio",79,0.4
"831","Cultural leisure",80,0.05
"832","Domestic work",80,0.12
"833","Eat drink",80,0.32
"834","Miscellaneous",80,14.95
"835","Nonsocial leisure",80,0.2
"836","Paid work",80,0.07
"837","Personal care",80,83.59
"838","Religion and volunteering",80,0.05
"839","School / Study",80,0.02
"840","Social leisure",80,0.2
"841","Sport exercise",80,0.02
"842","TV/radio",80,0.4
"843","Cultural leisure",81,0.02
"844","Domestic work",81,0.1
"845","Eat drink",81,0.32
"846","Miscellaneous",81,14.88
"847","Nonsocial leisure",81,0.2
"848","Paid work",81,0.07
"849","Personal care",81,83.71
"850","Religion and volunteering",81,0.05
"851","School / Study",81,0.02
"852","Social leisure",81,0.22
"853","Sport exercise",81,0.02
"854","TV/radio",81,0.37
"855","Cultural leisure",82,0.02
"856","Domestic work",82,0.1
"857","Eat drink",82,0.32
"858","Miscellaneous",82,14.88
"859","Nonsocial leisure",82,0.2
"860","Paid work",82,0.07
"861","Personal care",82,83.71
"862","Religion and volunteering",82,0.05
"863","School / Study",82,0.02
"864","Social leisure",82,0.22
"865","Sport exercise",82,0.02
"866","TV/radio",82,0.37
"867","Cultural leisure",83,0.02
"868","Domestic work",83,0.1
"869","Eat drink",83,0.32
"870","Miscellaneous",83,14.9
"871","Nonsocial leisure",83,0.2
"872","Paid work",83,0.05
"873","Personal care",83,83.71
"874","Religion and volunteering",83,0.05
"875","School / Study",83,0.02
"876","Social leisure",83,0.22
"877","Sport exercise",83,0.02
"878","TV/radio",83,0.37
"879","Cultural leisure",84,0.02
