"","Time","diaryday","av","n","tot","SharePerHour","SEX"
"69",2,"4","Eat drink",4,2243,0.18,"girls"
"70",2,"4","Miscellaneous",634,2243,28.27,"girls"
"71",2,"4","Nonsocial leisure",4,2243,0.18,"girls"
"72",2,"4","Personal care",1577,2243,70.31,"girls"
"73",2,"4","Religion and volunteering",1,2243,0.04,"girls"
"74",2,"4","Social leisure",8,2243,0.36,"girls"
"75",2,"4","Sport exercise",1,2243,0.04,"girls"
"76",2,"4","TV/radio",10,2243,0.45,"girls"
"77",3,"1","Eat drink",4,2243,0.18,"girls"
"78",3,"1","Miscellaneous",438,2243,19.53,"girls"
"79",3,"1","Nonsocial leisure",3,2243,0.13,"girls"
"80",3,"1","Personal care",1790,2243,79.8,"girls"
"81",3,"1","Religion and volunteering",1,2243,0.04,"girls"
"82",3,"1","Social leisure",4,2243,0.18,"girls"
"83",3,"1","TV/radio",3,2243,0.13,"girls"
"84",3,"2","Cultural leisure",7,2243,0.31,"girls"
"85",3,"2","Domestic work",4,2243,0.18,"girls"
"86",3,"2","Eat drink",10,2243,0.45,"girls"
"87",3,"2","Miscellaneous",875,2243,39.01,"girls"
"88",3,"2","Nonsocial leisure",15,2243,0.67,"girls"
"89",3,"2","Paid work",2,2243,0.09,"girls"
"90",3,"2","Personal care",1304,2243,58.14,"girls"
"91",3,"2","Social leisure",13,2243,0.58,"girls"
"92",3,"2","Sport exercise",1,2243,0.04,"girls"
"93",3,"2","TV/radio",12,2243,0.53,"girls"
"94",3,"3","Cultural leisure",1,2243,0.04,"girls"
"95",3,"3","Domestic work",3,2243,0.13,"girls"
"96",3,"3","Eat drink",12,2243,0.53,"girls"
"97",3,"3","Miscellaneous",1031,2243,45.97,"girls"
"98",3,"3","Nonsocial leisure",24,2243,1.07,"girls"
"99",3,"3","Paid work",3,2243,0.13,"girls"
"100",3,"3","Personal care",1125,2243,50.16,"girls"
"101",3,"3","Religion and volunteering",1,2243,0.04,"girls"
"102",3,"3","Social leisure",26,2243,1.16,"girls"
"103",3,"3","Sport exercise",2,2243,0.09,"girls"
"104",3,"3","TV/radio",15,2243,0.67,"girls"
"105",3,"4","Cultural leisure",3,2243,0.13,"girls"
"106",3,"4","Domestic work",1,2243,0.04,"girls"
"107",3,"4","Eat drink",4,2243,0.18,"girls"
"108",3,"4","Miscellaneous",632,2243,28.18,"girls"
"109",3,"4","Nonsocial leisure",4,2243,0.18,"girls"
"110",3,"4","Personal care",1578,2243,70.35,"girls"
"111",3,"4","Religion and volunteering",2,2243,0.09,"girls"
"112",3,"4","Social leisure",8,2243,0.36,"girls"
"113",3,"4","Sport exercise",1,2243,0.04,"girls"
"114",3,"4","TV/radio",10,2243,0.45,"girls"
"115",4,"1","Eat drink",4,2243,0.18,"girls"
"116",4,"1","Miscellaneous",438,2243,19.53,"girls"
"117",4,"1","Nonsocial leisure",3,2243,0.13,"girls"
"118",4,"1","Personal care",1790,2243,79.8,"girls"
"119",4,"1","Religion and volunteering",1,2243,0.04,"girls"
"120",4,"1","Social leisure",4,2243,0.18,"girls"
"121",4,"1","TV/radio",3,2243,0.13,"girls"
"122",4,"2","Cultural leisure",7,2243,0.31,"girls"
"123",4,"2","Domestic work",4,2243,0.18,"girls"
"124",4,"2","Eat drink",10,2243,0.45,"girls"
"125",4,"2","Miscellaneous",875,2243,39.01,"girls"
"126",4,"2","Nonsocial leisure",15,2243,0.67,"girls"
"127",4,"2","Paid work",2,2243,0.09,"girls"
"128",4,"2","Personal care",1304,2243,58.14,"girls"
"129",4,"2","Social leisure",13,2243,0.58,"girls"
"130",4,"2","Sport exercise",1,2243,0.04,"girls"
"131",4,"2","TV/radio",12,2243,0.53,"girls"
"132",4,"3","Cultural leisure",1,2243,0.04,"girls"
"133",4,"3","Domestic work",3,2243,0.13,"girls"
"134",4,"3","Eat drink",12,2243,0.53,"girls"
"135",4,"3","Miscellaneous",1030,2243,45.92,"girls"
"136",4,"3","Nonsocial leisure",24,2243,1.07,"girls"
"137",4,"3","Paid work",3,2243,0.13,"girls"
"138",4,"3","Personal care",1126,2243,50.2,"girls"
"139",4,"3","Religion and volunteering",1,2243,0.04,"girls"
"140",4,"3","Social leisure",26,2243,1.16,"girls"
"141",4,"3","Sport exercise",2,2243,0.09,"girls"
"142",4,"3","TV/radio",15,2243,0.67,"girls"
"143",4,"4","Cultural leisure",3,2243,0.13,"girls"
"144",4,"4","Domestic work",1,2243,0.04,"girls"
"145",4,"4","Eat drink",4,2243,0.18,"girls"
"146",4,"4","Miscellaneous",632,2243,28.18,"girls"
"147",4,"4","Nonsocial leisure",4,2243,0.18,"girls"
"148",4,"4","Personal care",1578,2243,70.35,"girls"
"149",4,"4","Religion and volunteering",2,2243,0.09,"girls"
"150",4,"4","Social leisure",8,2243,0.36,"girls"
"151",4,"4","Sport exercise",1,2243,0.04,"girls"
"152",4,"4","TV/radio",10,2243,0.45,"girls"
"153",5,"1","Eat drink",4,2243,0.18,"girls"
"154",5,"1","Miscellaneous",438,2243,19.53,"girls"
"155",5,"1","Nonsocial leisure",3,2243,0.13,"girls"
"156",5,"1","Personal care",1790,2243,79.8,"girls"
"157",5,"1","Religion and volunteering",1,2243,0.04,"girls"
"158",5,"1","Social leisure",4,2243,0.18,"girls"
"159",5,"1","TV/radio",3,2243,0.13,"girls"
"160",5,"2","Cultural leisure",7,2243,0.31,"girls"
"161",5,"2","Domestic work",4,2243,0.18,"girls"
"162",5,"2","Eat drink",10,2243,0.45,"girls"
"163",5,"2","Miscellaneous",875,2243,39.01,"girls"
"164",5,"2","Nonsocial leisure",15,2243,0.67,"girls"
"165",5,"2","Paid work",2,2243,0.09,"girls"
"166",5,"2","Personal care",1304,2243,58.14,"girls"
"167",5,"2","Social leisure",13,2243,0.58,"girls"
"168",5,"2","Sport exercise",1,2243,0.04,"girls"
"169",5,"2","TV/radio",12,2243,0.53,"girls"
"170",5,"3","Cultural leisure",1,2243,0.04,"girls"
"171",5,"3","Domestic work",3,2243,0.13,"girls"
"172",5,"3","Eat drink",12,2243,0.53,"girls"
"173",5,"3","Miscellaneous",1030,2243,45.92,"girls"
"174",5,"3","Nonsocial leisure",24,2243,1.07,"girls"
"175",5,"3","Paid work",3,2243,0.13,"girls"
"176",5,"3","Personal care",1126,2243,50.2,"girls"
"177",5,"3","Religion and volunteering",1,2243,0.04,"girls"
"178",5,"3","Social leisure",26,2243,1.16,"girls"
"179",5,"3","Sport exercise",2,2243,0.09,"girls"
"180",5,"3","TV/radio",15,2243,0.67,"girls"
"181",5,"4","Cultural leisure",3,2243,0.13,"girls"
"182",5,"4","Domestic work",1,2243,0.04,"girls"
"183",5,"4","Eat drink",4,2243,0.18,"girls"
"184",5,"4","Miscellaneous",632,2243,28.18,"girls"
"185",5,"4","Nonsocial leisure",4,2243,0.18,"girls"
"186",5,"4","Personal care",1578,2243,70.35,"girls"
"187",5,"4","Religion and volunteering",2,2243,0.09,"girls"
"188",5,"4","Social leisure",8,2243,0.36,"girls"
"189",5,"4","Sport exercise",1,2243,0.04,"girls"
"190",5,"4","TV/radio",10,2243,0.45,"girls"
"191",6,"1","Cultural leisure",1,2243,0.04,"girls"
"192",6,"1","Eat drink",4,2243,0.18,"girls"
"193",6,"1","Miscellaneous",433,2243,19.3,"girls"
"194",6,"1","Nonsocial leisure",3,2243,0.13,"girls"
"195",6,"1","Paid work",2,2243,0.09,"girls"
"196",6,"1","Personal care",1792,2243,79.89,"girls"
"197",6,"1","Religion and volunteering",1,2243,0.04,"girls"
"198",6,"1","Social leisure",4,2243,0.18,"girls"
"199",6,"1","TV/radio",3,2243,0.13,"girls"
"200",6,"2","Cultural leisure",9,2243,0.4,"girls"
"201",6,"2","Domestic work",4,2243,0.18,"girls"
"202",6,"2","Eat drink",13,2243,0.58,"girls"
"203",6,"2","Miscellaneous",856,2243,38.16,"girls"
"204",6,"2","Nonsocial leisure",15,2243,0.67,"girls"
"205",6,"2","Paid work",2,2243,0.09,"girls"
"206",6,"2","Personal care",1315,2243,58.63,"girls"
"207",6,"2","Religion and volunteering",1,2243,0.04,"girls"
"208",6,"2","Social leisure",14,2243,0.62,"girls"
"209",6,"2","Sport exercise",1,2243,0.04,"girls"
"210",6,"2","TV/radio",13,2243,0.58,"girls"
"211",6,"3","Cultural leisure",2,2243,0.09,"girls"
"212",6,"3","Domestic work",3,2243,0.13,"girls"
"213",6,"3","Eat drink",16,2243,0.71,"girls"
"214",6,"3","Miscellaneous",1011,2243,45.07,"girls"
"215",6,"3","Nonsocial leisure",24,2243,1.07,"girls"
"216",6,"3","Paid work",2,2243,0.09,"girls"
"217",6,"3","Personal care",1137,2243,50.69,"girls"
"218",6,"3","Religion and volunteering",1,2243,0.04,"girls"
"219",6,"3","Social leisure",29,2243,1.29,"girls"
"220",6,"3","Sport exercise",2,2243,0.09,"girls"
"221",6,"3","TV/radio",16,2243,0.71,"girls"
"222",6,"4","Cultural leisure",4,2243,0.18,"girls"
"223",6,"4","Domestic work",1,2243,0.04,"girls"
"224",6,"4","Eat drink",6,2243,0.27,"girls"
"225",6,"4","Miscellaneous",615,2243,27.42,"girls"
"226",6,"4","Nonsocial leisure",4,2243,0.18,"girls"
"227",6,"4","Personal care",1588,2243,70.8,"girls"
"228",6,"4","Religion and volunteering",1,2243,0.04,"girls"
"229",6,"4","Social leisure",10,2243,0.45,"girls"
"230",6,"4","Sport exercise",1,2243,0.04,"girls"
"231",6,"4","TV/radio",13,2243,0.58,"girls"
"232",7,"1","Cultural leisure",1,2243,0.04,"girls"
"233",7,"1","Eat drink",4,2243,0.18,"girls"
"234",7,"1","Miscellaneous",433,2243,19.3,"girls"
"235",7,"1","Nonsocial leisure",3,2243,0.13,"girls"
"236",7,"1","Paid work",2,2243,0.09,"girls"
"237",7,"1","Personal care",1792,2243,79.89,"girls"
"238",7,"1","Religion and volunteering",1,2243,0.04,"girls"
"239",7,"1","Social leisure",4,2243,0.18,"girls"
"240",7,"1","TV/radio",3,2243,0.13,"girls"
"241",7,"2","Cultural leisure",9,2243,0.4,"girls"
"242",7,"2","Domestic work",4,2243,0.18,"girls"
"243",7,"2","Eat drink",13,2243,0.58,"girls"
"244",7,"2","Miscellaneous",855,2243,38.12,"girls"
"245",7,"2","Nonsocial leisure",15,2243,0.67,"girls"
"246",7,"2","Paid work",2,2243,0.09,"girls"
"247",7,"2","Personal care",1316,2243,58.67,"girls"
"248",7,"2","Religion and volunteering",1,2243,0.04,"girls"
"249",7,"2","Social leisure",14,2243,0.62,"girls"
"250",7,"2","Sport exercise",1,2243,0.04,"girls"
"251",7,"2","TV/radio",13,2243,0.58,"girls"
"252",7,"3","Cultural leisure",2,2243,0.09,"girls"
"253",7,"3","Domestic work",3,2243,0.13,"girls"
"254",7,"3","Eat drink",16,2243,0.71,"girls"
"255",7,"3","Miscellaneous",1011,2243,45.07,"girls"
"256",7,"3","Nonsocial leisure",24,2243,1.07,"girls"
"257",7,"3","Paid work",2,2243,0.09,"girls"
"258",7,"3","Personal care",1137,2243,50.69,"girls"
"259",7,"3","Religion and volunteering",1,2243,0.04,"girls"
"260",7,"3","Social leisure",29,2243,1.29,"girls"
"261",7,"3","Sport exercise",2,2243,0.09,"girls"
"262",7,"3","TV/radio",16,2243,0.71,"girls"
"263",7,"4","Cultural leisure",4,2243,0.18,"girls"
"264",7,"4","Domestic work",1,2243,0.04,"girls"
"265",7,"4","Eat drink",6,2243,0.27,"girls"
"266",7,"4","Miscellaneous",615,2243,27.42,"girls"
"267",7,"4","Nonsocial leisure",4,2243,0.18,"girls"
"268",7,"4","Personal care",1588,2243,70.8,"girls"
"269",7,"4","Religion and volunteering",1,2243,0.04,"girls"
"270",7,"4","Social leisure",10,2243,0.45,"girls"
"271",7,"4","Sport exercise",1,2243,0.04,"girls"
"272",7,"4","TV/radio",13,2243,0.58,"girls"
"273",8,"1","Cultural leisure",1,2243,0.04,"girls"
"274",8,"1","Eat drink",4,2243,0.18,"girls"
"275",8,"1","Miscellaneous",432,2243,19.26,"girls"
"276",8,"1","Nonsocial leisure",3,2243,0.13,"girls"
"277",8,"1","Paid work",2,2243,0.09,"girls"
"278",8,"1","Personal care",1793,2243,79.94,"girls"
"279",8,"1","Religion and volunteering",1,2243,0.04,"girls"
"280",8,"1","Social leisure",4,2243,0.18,"girls"
"281",8,"1","TV/radio",3,2243,0.13,"girls"
"282",8,"2","Cultural leisure",9,2243,0.4,"girls"
"283",8,"2","Domestic work",4,2243,0.18,"girls"
"284",8,"2","Eat drink",13,2243,0.58,"girls"
"285",8,"2","Miscellaneous",854,2243,38.07,"girls"
"286",8,"2","Nonsocial leisure",15,2243,0.67,"girls"
"287",8,"2","Paid work",2,2243,0.09,"girls"
"288",8,"2","Personal care",1317,2243,58.72,"girls"
"289",8,"2","Religion and volunteering",1,2243,0.04,"girls"
"290",8,"2","Social leisure",14,2243,0.62,"girls"
"291",8,"2","Sport exercise",1,2243,0.04,"girls"
"292",8,"2","TV/radio",13,2243,0.58,"girls"
"293",8,"3","Cultural leisure",2,2243,0.09,"girls"
"294",8,"3","Domestic work",3,2243,0.13,"girls"
"295",8,"3","Eat drink",16,2243,0.71,"girls"
"296",8,"3","Miscellaneous",1011,2243,45.07,"girls"
"297",8,"3","Nonsocial leisure",24,2243,1.07,"girls"
"298",8,"3","Paid work",2,2243,0.09,"girls"
"299",8,"3","Personal care",1137,2243,50.69,"girls"
"300",8,"3","Religion and volunteering",1,2243,0.04,"girls"
"301",8,"3","Social leisure",29,2243,1.29,"girls"
"302",8,"3","Sport exercise",2,2243,0.09,"girls"
"303",8,"3","TV/radio",16,2243,0.71,"girls"
"304",8,"4","Cultural leisure",4,2243,0.18,"girls"
"305",8,"4","Domestic work",1,2243,0.04,"girls"
"306",8,"4","Eat drink",6,2243,0.27,"girls"
"307",8,"4","Miscellaneous",615,2243,27.42,"girls"
"308",8,"4","Nonsocial leisure",4,2243,0.18,"girls"
"309",8,"4","Personal care",1588,2243,70.8,"girls"
"310",8,"4","Religion and volunteering",1,2243,0.04,"girls"
"311",8,"4","Social leisure",10,2243,0.45,"girls"
"312",8,"4","Sport exercise",1,2243,0.04,"girls"
"313",8,"4","TV/radio",13,2243,0.58,"girls"
"314",9,"1","Cultural leisure",1,2243,0.04,"girls"
"315",9,"1","Eat drink",4,2243,0.18,"girls"
"316",9,"1","Miscellaneous",432,2243,19.26,"girls"
"317",9,"1","Nonsocial leisure",3,2243,0.13,"girls"
"318",9,"1","Paid work",2,2243,0.09,"girls"
"319",9,"1","Personal care",1793,2243,79.94,"girls"
"320",9,"1","Religion and volunteering",1,2243,0.04,"girls"
"321",9,"1","Social leisure",4,2243,0.18,"girls"
"322",9,"1","TV/radio",3,2243,0.13,"girls"
"323",9,"2","Cultural leisure",9,2243,0.4,"girls"
"324",9,"2","Domestic work",3,2243,0.13,"girls"
"325",9,"2","Eat drink",13,2243,0.58,"girls"
"326",9,"2","Miscellaneous",855,2243,38.12,"girls"
"327",9,"2","Nonsocial leisure",15,2243,0.67,"girls"
"328",9,"2","Paid work",2,2243,0.09,"girls"
"329",9,"2","Personal care",1317,2243,58.72,"girls"
"330",9,"2","Religion and volunteering",1,2243,0.04,"girls"
"331",9,"2","Social leisure",14,2243,0.62,"girls"
"332",9,"2","Sport exercise",1,2243,0.04,"girls"
"333",9,"2","TV/radio",13,2243,0.58,"girls"
"334",9,"3","Cultural leisure",2,2243,0.09,"girls"
"335",9,"3","Domestic work",3,2243,0.13,"girls"
"336",9,"3","Eat drink",16,2243,0.71,"girls"
"337",9,"3","Miscellaneous",1010,2243,45.03,"girls"
"338",9,"3","Nonsocial leisure",25,2243,1.11,"girls"
"339",9,"3","Paid work",2,2243,0.09,"girls"
"340",9,"3","Personal care",1137,2243,50.69,"girls"
"341",9,"3","Religion and volunteering",1,2243,0.04,"girls"
"342",9,"3","Social leisure",29,2243,1.29,"girls"
"343",9,"3","Sport exercise",2,2243,0.09,"girls"
"344",9,"3","TV/radio",16,2243,0.71,"girls"
"345",9,"4","Cultural leisure",5,2243,0.22,"girls"
"346",9,"4","Domestic work",1,2243,0.04,"girls"
"347",9,"4","Eat drink",6,2243,0.27,"girls"
"348",9,"4","Miscellaneous",615,2243,27.42,"girls"
"349",9,"4","Nonsocial leisure",4,2243,0.18,"girls"
"350",9,"4","Personal care",1587,2243,70.75,"girls"
"351",9,"4","Religion and volunteering",1,2243,0.04,"girls"
"352",9,"4","Social leisure",10,2243,0.45,"girls"
"353",9,"4","Sport exercise",1,2243,0.04,"girls"
"354",9,"4","TV/radio",13,2243,0.58,"girls"
"355",10,"1","Cultural leisure",1,2243,0.04,"girls"
"356",10,"1","Eat drink",4,2243,0.18,"girls"
"357",10,"1","Miscellaneous",432,2243,19.26,"girls"
"358",10,"1","Nonsocial leisure",3,2243,0.13,"girls"
"359",10,"1","Paid work",2,2243,0.09,"girls"
"360",10,"1","Personal care",1793,2243,79.94,"girls"
"361",10,"1","Religion and volunteering",1,2243,0.04,"girls"
"362",10,"1","Social leisure",4,2243,0.18,"girls"
"363",10,"1","TV/radio",3,2243,0.13,"girls"
"364",10,"2","Cultural leisure",9,2243,0.4,"girls"
"365",10,"2","Domestic work",3,2243,0.13,"girls"
"366",10,"2","Eat drink",13,2243,0.58,"girls"
"367",10,"2","Miscellaneous",855,2243,38.12,"girls"
"368",10,"2","Nonsocial leisure",15,2243,0.67,"girls"
"369",10,"2","Paid work",2,2243,0.09,"girls"
"370",10,"2","Personal care",1317,2243,58.72,"girls"
"371",10,"2","Religion and volunteering",1,2243,0.04,"girls"
"372",10,"2","Social leisure",14,2243,0.62,"girls"
"373",10,"2","Sport exercise",1,2243,0.04,"girls"
"374",10,"2","TV/radio",13,2243,0.58,"girls"
"375",10,"3","Cultural leisure",2,2243,0.09,"girls"
"376",10,"3","Domestic work",3,2243,0.13,"girls"
"377",10,"3","Eat drink",16,2243,0.71,"girls"
"378",10,"3","Miscellaneous",1010,2243,45.03,"girls"
"379",10,"3","Nonsocial leisure",25,2243,1.11,"girls"
"380",10,"3","Paid work",2,2243,0.09,"girls"
"381",10,"3","Personal care",1137,2243,50.69,"girls"
"382",10,"3","Religion and volunteering",1,2243,0.04,"girls"
"383",10,"3","Social leisure",29,2243,1.29,"girls"
"384",10,"3","Sport exercise",2,2243,0.09,"girls"
"385",10,"3","TV/radio",16,2243,0.71,"girls"
"386",10,"4","Cultural leisure",5,2243,0.22,"girls"
"387",10,"4","Domestic work",1,2243,0.04,"girls"
"388",10,"4","Eat drink",6,2243,0.27,"girls"
"389",10,"4","Miscellaneous",615,2243,27.42,"girls"
"390",10,"4","Nonsocial leisure",4,2243,0.18,"girls"
"391",10,"4","Personal care",1587,2243,70.75,"girls"
"392",10,"4","Religion and volunteering",1,2243,0.04,"girls"
"393",10,"4","Social leisure",10,2243,0.45,"girls"
"394",10,"4","Sport exercise",1,2243,0.04,"girls"
"395",10,"4","TV/radio",13,2243,0.58,"girls"
"396",11,"1","Cultural leisure",1,2243,0.04,"girls"
"397",11,"1","Eat drink",4,2243,0.18,"girls"
"398",11,"1","Miscellaneous",421,2243,18.77,"girls"
"399",11,"1","Nonsocial leisure",3,2243,0.13,"girls"
"400",11,"1","Paid work",2,2243,0.09,"girls"
"401",11,"1","Personal care",1803,2243,80.38,"girls"
"402",11,"1","Religion and volunteering",1,2243,0.04,"girls"
"403",11,"1","Social leisure",4,2243,0.18,"girls"
"404",11,"1","TV/radio",4,2243,0.18,"girls"
"405",11,"2","Cultural leisure",11,2243,0.49,"girls"
"406",11,"2","Domestic work",2,2243,0.09,"girls"
"407",11,"2","Eat drink",17,2243,0.76,"girls"
"408",11,"2","Miscellaneous",822,2243,36.65,"girls"
"409",11,"2","Nonsocial leisure",17,2243,0.76,"girls"
"410",11,"2","Paid work",2,2243,0.09,"girls"
"411",11,"2","Personal care",1336,2243,59.56,"girls"
"412",11,"2","Religion and volunteering",2,2243,0.09,"girls"
"413",11,"2","Social leisure",19,2243,0.85,"girls"
"414",11,"2","Sport exercise",1,2243,0.04,"girls"
"415",11,"2","TV/radio",14,2243,0.62,"girls"
"416",11,"3","Cultural leisure",3,2243,0.13,"girls"
"417",11,"3","Domestic work",4,2243,0.18,"girls"
"418",11,"3","Eat drink",18,2243,0.8,"girls"
"419",11,"3","Miscellaneous",987,2243,44,"girls"
"420",11,"3","Nonsocial leisure",23,2243,1.03,"girls"
"421",11,"3","Paid work",2,2243,0.09,"girls"
"422",11,"3","Personal care",1155,2243,51.49,"girls"
"423",11,"3","Religion and volunteering",1,2243,0.04,"girls"
"424",11,"3","Social leisure",31,2243,1.38,"girls"
"425",11,"3","Sport exercise",1,2243,0.04,"girls"
"426",11,"3","TV/radio",18,2243,0.8,"girls"
"427",11,"4","Cultural leisure",5,2243,0.22,"girls"
"428",11,"4","Domestic work",2,2243,0.09,"girls"
"429",11,"4","Eat drink",6,2243,0.27,"girls"
"430",11,"4","Miscellaneous",597,2243,26.62,"girls"
"431",11,"4","Nonsocial leisure",7,2243,0.31,"girls"
"432",11,"4","Paid work",1,2243,0.04,"girls"
"433",11,"4","Personal care",1600,2243,71.33,"girls"
"434",11,"4","Religion and volunteering",1,2243,0.04,"girls"
"435",11,"4","Social leisure",11,2243,0.49,"girls"
"436",11,"4","TV/radio",13,2243,0.58,"girls"
"437",12,"1","Cultural leisure",1,2243,0.04,"girls"
"438",12,"1","Eat drink",4,2243,0.18,"girls"
"439",12,"1","Miscellaneous",421,2243,18.77,"girls"
"440",12,"1","Nonsocial leisure",3,2243,0.13,"girls"
"441",12,"1","Paid work",2,2243,0.09,"girls"
"442",12,"1","Personal care",1803,2243,80.38,"girls"
"443",12,"1","Religion and volunteering",1,2243,0.04,"girls"
"444",12,"1","Social leisure",4,2243,0.18,"girls"
"445",12,"1","TV/radio",4,2243,0.18,"girls"
"446",12,"2","Cultural leisure",11,2243,0.49,"girls"
"447",12,"2","Domestic work",2,2243,0.09,"girls"
"448",12,"2","Eat drink",17,2243,0.76,"girls"
"449",12,"2","Miscellaneous",822,2243,36.65,"girls"
"450",12,"2","Nonsocial leisure",17,2243,0.76,"girls"
"451",12,"2","Paid work",2,2243,0.09,"girls"
"452",12,"2","Personal care",1336,2243,59.56,"girls"
"453",12,"2","Religion and volunteering",2,2243,0.09,"girls"
"454",12,"2","Social leisure",19,2243,0.85,"girls"
"455",12,"2","Sport exercise",1,2243,0.04,"girls"
"456",12,"2","TV/radio",14,2243,0.62,"girls"
"457",12,"3","Cultural leisure",3,2243,0.13,"girls"
"458",12,"3","Domestic work",4,2243,0.18,"girls"
"459",12,"3","Eat drink",18,2243,0.8,"girls"
"460",12,"3","Miscellaneous",987,2243,44,"girls"
"461",12,"3","Nonsocial leisure",23,2243,1.03,"girls"
"462",12,"3","Paid work",2,2243,0.09,"girls"
"463",12,"3","Personal care",1155,2243,51.49,"girls"
"464",12,"3","Religion and volunteering",1,2243,0.04,"girls"
"465",12,"3","Social leisure",31,2243,1.38,"girls"
"466",12,"3","Sport exercise",1,2243,0.04,"girls"
"467",12,"3","TV/radio",18,2243,0.8,"girls"
"468",12,"4","Cultural leisure",5,2243,0.22,"girls"
"469",12,"4","Domestic work",2,2243,0.09,"girls"
"470",12,"4","Eat drink",6,2243,0.27,"girls"
"471",12,"4","Miscellaneous",597,2243,26.62,"girls"
"472",12,"4","Nonsocial leisure",7,2243,0.31,"girls"
"473",12,"4","Paid work",1,2243,0.04,"girls"
"474",12,"4","Personal care",1600,2243,71.33,"girls"
"475",12,"4","Religion and volunteering",1,2243,0.04,"girls"
"476",12,"4","Social leisure",11,2243,0.49,"girls"
"477",12,"4","TV/radio",13,2243,0.58,"girls"
"478",13,"1","Cultural leisure",1,2243,0.04,"girls"
"479",13,"1","Eat drink",4,2243,0.18,"girls"
