"","Time","diaryday","av","n","tot","SharePerHour","SEX"
"57",2,"2","Personal care",1020,1790,56.98,"boys"
"58",2,"2","Religion and volunteering",1,1790,0.06,"boys"
"59",2,"2","Social leisure",8,1790,0.45,"boys"
"60",2,"2","Sport exercise",1,1790,0.06,"boys"
"61",2,"2","TV/radio",18,1790,1.01,"boys"
"62",2,"3","Cultural leisure",3,1790,0.17,"boys"
"63",2,"3","Domestic work",5,1790,0.28,"boys"
"64",2,"3","Eat drink",8,1790,0.45,"boys"
"65",2,"3","Miscellaneous",794,1790,44.36,"boys"
"66",2,"3","Nonsocial leisure",27,1790,1.51,"boys"
"67",2,"3","Personal care",915,1790,51.12,"boys"
"68",2,"3","School / Study",1,1790,0.06,"boys"
"69",2,"3","Social leisure",11,1790,0.61,"boys"
"70",2,"3","Sport exercise",5,1790,0.28,"boys"
"71",2,"3","TV/radio",21,1790,1.17,"boys"
"72",2,"4","Cultural leisure",1,1790,0.06,"boys"
"73",2,"4","Domestic work",1,1790,0.06,"boys"
"74",2,"4","Eat drink",6,1790,0.34,"boys"
"75",2,"4","Miscellaneous",559,1790,31.23,"boys"
"76",2,"4","Nonsocial leisure",3,1790,0.17,"boys"
"77",2,"4","Personal care",1211,1790,67.65,"boys"
"78",2,"4","Religion and volunteering",1,1790,0.06,"boys"
"79",2,"4","Social leisure",2,1790,0.11,"boys"
"80",2,"4","TV/radio",6,1790,0.34,"boys"
"81",3,"1","Cultural leisure",1,1790,0.06,"boys"
"82",3,"1","Domestic work",1,1790,0.06,"boys"
"83",3,"1","Eat drink",4,1790,0.22,"boys"
"84",3,"1","Miscellaneous",320,1790,17.88,"boys"
"85",3,"1","Nonsocial leisure",1,1790,0.06,"boys"
"86",3,"1","Paid work",1,1790,0.06,"boys"
"87",3,"1","Personal care",1449,1790,80.95,"boys"
"88",3,"1","Religion and volunteering",1,1790,0.06,"boys"
"89",3,"1","Social leisure",4,1790,0.22,"boys"
"90",3,"1","TV/radio",8,1790,0.45,"boys"
"91",3,"2","Cultural leisure",3,1790,0.17,"boys"
"92",3,"2","Domestic work",4,1790,0.22,"boys"
"93",3,"2","Eat drink",16,1790,0.89,"boys"
"94",3,"2","Miscellaneous",699,1790,39.05,"boys"
"95",3,"2","Nonsocial leisure",14,1790,0.78,"boys"
"96",3,"2","Paid work",4,1790,0.22,"boys"
"97",3,"2","Personal care",1021,1790,57.04,"boys"
"98",3,"2","Religion and volunteering",1,1790,0.06,"boys"
"99",3,"2","Social leisure",8,1790,0.45,"boys"
"100",3,"2","Sport exercise",1,1790,0.06,"boys"
"101",3,"2","TV/radio",19,1790,1.06,"boys"
"102",3,"3","Cultural leisure",3,1790,0.17,"boys"
"103",3,"3","Domestic work",5,1790,0.28,"boys"
"104",3,"3","Eat drink",8,1790,0.45,"boys"
"105",3,"3","Miscellaneous",794,1790,44.36,"boys"
"106",3,"3","Nonsocial leisure",27,1790,1.51,"boys"
"107",3,"3","Personal care",915,1790,51.12,"boys"
"108",3,"3","School / Study",1,1790,0.06,"boys"
"109",3,"3","Social leisure",11,1790,0.61,"boys"
"110",3,"3","Sport exercise",5,1790,0.28,"boys"
"111",3,"3","TV/radio",21,1790,1.17,"boys"
"112",3,"4","Cultural leisure",1,1790,0.06,"boys"
"113",3,"4","Domestic work",1,1790,0.06,"boys"
"114",3,"4","Eat drink",6,1790,0.34,"boys"
"115",3,"4","Miscellaneous",558,1790,31.17,"boys"
"116",3,"4","Nonsocial leisure",3,1790,0.17,"boys"
"117",3,"4","Personal care",1212,1790,67.71,"boys"
"118",3,"4","Religion and volunteering",1,1790,0.06,"boys"
"119",3,"4","Social leisure",2,1790,0.11,"boys"
"120",3,"4","TV/radio",6,1790,0.34,"boys"
"121",4,"1","Cultural leisure",1,1790,0.06,"boys"
"122",4,"1","Domestic work",1,1790,0.06,"boys"
"123",4,"1","Eat drink",4,1790,0.22,"boys"
"124",4,"1","Miscellaneous",320,1790,17.88,"boys"
"125",4,"1","Nonsocial leisure",1,1790,0.06,"boys"
"126",4,"1","Paid work",1,1790,0.06,"boys"
"127",4,"1","Personal care",1449,1790,80.95,"boys"
"128",4,"1","Religion and volunteering",1,1790,0.06,"boys"
"129",4,"1","Social leisure",4,1790,0.22,"boys"
"130",4,"1","TV/radio",8,1790,0.45,"boys"
"131",4,"2","Cultural leisure",3,1790,0.17,"boys"
"132",4,"2","Domestic work",4,1790,0.22,"boys"
"133",4,"2","Eat drink",16,1790,0.89,"boys"
"134",4,"2","Miscellaneous",699,1790,39.05,"boys"
"135",4,"2","Nonsocial leisure",14,1790,0.78,"boys"
"136",4,"2","Paid work",4,1790,0.22,"boys"
"137",4,"2","Personal care",1021,1790,57.04,"boys"
"138",4,"2","Religion and volunteering",1,1790,0.06,"boys"
"139",4,"2","Social leisure",8,1790,0.45,"boys"
"140",4,"2","Sport exercise",1,1790,0.06,"boys"
"141",4,"2","TV/radio",19,1790,1.06,"boys"
"142",4,"3","Cultural leisure",3,1790,0.17,"boys"
"143",4,"3","Domestic work",5,1790,0.28,"boys"
"144",4,"3","Eat drink",8,1790,0.45,"boys"
"145",4,"3","Miscellaneous",791,1790,44.19,"boys"
"146",4,"3","Nonsocial leisure",27,1790,1.51,"boys"
"147",4,"3","Personal care",917,1790,51.23,"boys"
"148",4,"3","School / Study",1,1790,0.06,"boys"
"149",4,"3","Social leisure",11,1790,0.61,"boys"
"150",4,"3","Sport exercise",5,1790,0.28,"boys"
"151",4,"3","TV/radio",22,1790,1.23,"boys"
"152",4,"4","Cultural leisure",1,1790,0.06,"boys"
"153",4,"4","Domestic work",1,1790,0.06,"boys"
"154",4,"4","Eat drink",6,1790,0.34,"boys"
"155",4,"4","Miscellaneous",558,1790,31.17,"boys"
"156",4,"4","Nonsocial leisure",3,1790,0.17,"boys"
"157",4,"4","Personal care",1212,1790,67.71,"boys"
"158",4,"4","Religion and volunteering",1,1790,0.06,"boys"
"159",4,"4","Social leisure",2,1790,0.11,"boys"
"160",4,"4","TV/radio",6,1790,0.34,"boys"
"161",5,"1","Cultural leisure",1,1790,0.06,"boys"
"162",5,"1","Domestic work",1,1790,0.06,"boys"
"163",5,"1","Eat drink",4,1790,0.22,"boys"
"164",5,"1","Miscellaneous",320,1790,17.88,"boys"
"165",5,"1","Nonsocial leisure",1,1790,0.06,"boys"
"166",5,"1","Paid work",1,1790,0.06,"boys"
"167",5,"1","Personal care",1449,1790,80.95,"boys"
"168",5,"1","Religion and volunteering",1,1790,0.06,"boys"
"169",5,"1","Social leisure",4,1790,0.22,"boys"
"170",5,"1","TV/radio",8,1790,0.45,"boys"
"171",5,"2","Cultural leisure",3,1790,0.17,"boys"
"172",5,"2","Domestic work",4,1790,0.22,"boys"
"173",5,"2","Eat drink",16,1790,0.89,"boys"
"174",5,"2","Miscellaneous",699,1790,39.05,"boys"
"175",5,"2","Nonsocial leisure",14,1790,0.78,"boys"
"176",5,"2","Paid work",4,1790,0.22,"boys"
"177",5,"2","Personal care",1021,1790,57.04,"boys"
"178",5,"2","Religion and volunteering",1,1790,0.06,"boys"
"179",5,"2","Social leisure",8,1790,0.45,"boys"
"180",5,"2","Sport exercise",1,1790,0.06,"boys"
"181",5,"2","TV/radio",19,1790,1.06,"boys"
"182",5,"3","Cultural leisure",3,1790,0.17,"boys"
"183",5,"3","Domestic work",5,1790,0.28,"boys"
"184",5,"3","Eat drink",8,1790,0.45,"boys"
"185",5,"3","Miscellaneous",791,1790,44.19,"boys"
"186",5,"3","Nonsocial leisure",27,1790,1.51,"boys"
"187",5,"3","Personal care",917,1790,51.23,"boys"
"188",5,"3","School / Study",1,1790,0.06,"boys"
"189",5,"3","Social leisure",11,1790,0.61,"boys"
"190",5,"3","Sport exercise",5,1790,0.28,"boys"
"191",5,"3","TV/radio",22,1790,1.23,"boys"
"192",5,"4","Cultural leisure",1,1790,0.06,"boys"
"193",5,"4","Domestic work",1,1790,0.06,"boys"
"194",5,"4","Eat drink",6,1790,0.34,"boys"
"195",5,"4","Miscellaneous",558,1790,31.17,"boys"
"196",5,"4","Nonsocial leisure",3,1790,0.17,"boys"
"197",5,"4","Personal care",1212,1790,67.71,"boys"
"198",5,"4","Religion and volunteering",1,1790,0.06,"boys"
"199",5,"4","Social leisure",2,1790,0.11,"boys"
"200",5,"4","TV/radio",6,1790,0.34,"boys"
"201",6,"1","Cultural leisure",1,1790,0.06,"boys"
"202",6,"1","Domestic work",1,1790,0.06,"boys"
"203",6,"1","Eat drink",5,1790,0.28,"boys"
"204",6,"1","Miscellaneous",315,1790,17.6,"boys"
"205",6,"1","Nonsocial leisure",1,1790,0.06,"boys"
"206",6,"1","Paid work",1,1790,0.06,"boys"
"207",6,"1","Personal care",1452,1790,81.12,"boys"
"208",6,"1","Religion and volunteering",1,1790,0.06,"boys"
"209",6,"1","Social leisure",4,1790,0.22,"boys"
"210",6,"1","TV/radio",9,1790,0.5,"boys"
"211",6,"2","Cultural leisure",4,1790,0.22,"boys"
"212",6,"2","Domestic work",3,1790,0.17,"boys"
"213",6,"2","Eat drink",15,1790,0.84,"boys"
"214",6,"2","Miscellaneous",682,1790,38.1,"boys"
"215",6,"2","Nonsocial leisure",13,1790,0.73,"boys"
"216",6,"2","Paid work",4,1790,0.22,"boys"
"217",6,"2","Personal care",1033,1790,57.71,"boys"
"218",6,"2","Religion and volunteering",1,1790,0.06,"boys"
"219",6,"2","Social leisure",8,1790,0.45,"boys"
"220",6,"2","Sport exercise",1,1790,0.06,"boys"
"221",6,"2","TV/radio",26,1790,1.45,"boys"
"222",6,"3","Cultural leisure",3,1790,0.17,"boys"
"223",6,"3","Domestic work",6,1790,0.34,"boys"
"224",6,"3","Eat drink",10,1790,0.56,"boys"
"225",6,"3","Miscellaneous",771,1790,43.07,"boys"
"226",6,"3","Nonsocial leisure",28,1790,1.56,"boys"
"227",6,"3","Personal care",928,1790,51.84,"boys"
"228",6,"3","Religion and volunteering",1,1790,0.06,"boys"
"229",6,"3","School / Study",1,1790,0.06,"boys"
"230",6,"3","Social leisure",11,1790,0.61,"boys"
"231",6,"3","Sport exercise",5,1790,0.28,"boys"
"232",6,"3","TV/radio",26,1790,1.45,"boys"
"233",6,"4","Cultural leisure",2,1790,0.11,"boys"
"234",6,"4","Domestic work",1,1790,0.06,"boys"
"235",6,"4","Eat drink",8,1790,0.45,"boys"
"236",6,"4","Miscellaneous",539,1790,30.11,"boys"
"237",6,"4","Nonsocial leisure",4,1790,0.22,"boys"
"238",6,"4","Personal care",1225,1790,68.44,"boys"
"239",6,"4","Religion and volunteering",1,1790,0.06,"boys"
"240",6,"4","Social leisure",2,1790,0.11,"boys"
"241",6,"4","TV/radio",8,1790,0.45,"boys"
"242",7,"1","Cultural leisure",1,1790,0.06,"boys"
"243",7,"1","Domestic work",1,1790,0.06,"boys"
"244",7,"1","Eat drink",5,1790,0.28,"boys"
"245",7,"1","Miscellaneous",315,1790,17.6,"boys"
"246",7,"1","Nonsocial leisure",1,1790,0.06,"boys"
"247",7,"1","Paid work",1,1790,0.06,"boys"
"248",7,"1","Personal care",1452,1790,81.12,"boys"
"249",7,"1","Religion and volunteering",1,1790,0.06,"boys"
"250",7,"1","Social leisure",4,1790,0.22,"boys"
"251",7,"1","TV/radio",9,1790,0.5,"boys"
"252",7,"2","Cultural leisure",4,1790,0.22,"boys"
"253",7,"2","Domestic work",3,1790,0.17,"boys"
"254",7,"2","Eat drink",15,1790,0.84,"boys"
"255",7,"2","Miscellaneous",681,1790,38.04,"boys"
"256",7,"2","Nonsocial leisure",13,1790,0.73,"boys"
"257",7,"2","Paid work",4,1790,0.22,"boys"
"258",7,"2","Personal care",1033,1790,57.71,"boys"
"259",7,"2","Religion and volunteering",1,1790,0.06,"boys"
"260",7,"2","Social leisure",8,1790,0.45,"boys"
"261",7,"2","Sport exercise",1,1790,0.06,"boys"
"262",7,"2","TV/radio",27,1790,1.51,"boys"
"263",7,"3","Cultural leisure",3,1790,0.17,"boys"
"264",7,"3","Domestic work",6,1790,0.34,"boys"
"265",7,"3","Eat drink",10,1790,0.56,"boys"
"266",7,"3","Miscellaneous",770,1790,43.02,"boys"
"267",7,"3","Nonsocial leisure",28,1790,1.56,"boys"
"268",7,"3","Personal care",928,1790,51.84,"boys"
"269",7,"3","Religion and volunteering",1,1790,0.06,"boys"
"270",7,"3","School / Study",1,1790,0.06,"boys"
"271",7,"3","Social leisure",11,1790,0.61,"boys"
"272",7,"3","Sport exercise",5,1790,0.28,"boys"
"273",7,"3","TV/radio",27,1790,1.51,"boys"
"274",7,"4","Cultural leisure",2,1790,0.11,"boys"
"275",7,"4","Domestic work",1,1790,0.06,"boys"
"276",7,"4","Eat drink",8,1790,0.45,"boys"
"277",7,"4","Miscellaneous",539,1790,30.11,"boys"
"278",7,"4","Nonsocial leisure",4,1790,0.22,"boys"
"279",7,"4","Personal care",1225,1790,68.44,"boys"
"280",7,"4","Religion and volunteering",1,1790,0.06,"boys"
"281",7,"4","Social leisure",2,1790,0.11,"boys"
"282",7,"4","TV/radio",8,1790,0.45,"boys"
"283",8,"1","Cultural leisure",1,1790,0.06,"boys"
"284",8,"1","Domestic work",1,1790,0.06,"boys"
"285",8,"1","Eat drink",5,1790,0.28,"boys"
"286",8,"1","Miscellaneous",314,1790,17.54,"boys"
"287",8,"1","Nonsocial leisure",1,1790,0.06,"boys"
"288",8,"1","Paid work",1,1790,0.06,"boys"
"289",8,"1","Personal care",1453,1790,81.17,"boys"
"290",8,"1","Religion and volunteering",1,1790,0.06,"boys"
"291",8,"1","Social leisure",4,1790,0.22,"boys"
"292",8,"1","TV/radio",9,1790,0.5,"boys"
"293",8,"2","Cultural leisure",4,1790,0.22,"boys"
"294",8,"2","Domestic work",3,1790,0.17,"boys"
"295",8,"2","Eat drink",15,1790,0.84,"boys"
"296",8,"2","Miscellaneous",681,1790,38.04,"boys"
"297",8,"2","Nonsocial leisure",13,1790,0.73,"boys"
"298",8,"2","Paid work",4,1790,0.22,"boys"
"299",8,"2","Personal care",1033,1790,57.71,"boys"
"300",8,"2","Religion and volunteering",1,1790,0.06,"boys"
"301",8,"2","Social leisure",8,1790,0.45,"boys"
"302",8,"2","Sport exercise",1,1790,0.06,"boys"
"303",8,"2","TV/radio",27,1790,1.51,"boys"
"304",8,"3","Cultural leisure",3,1790,0.17,"boys"
"305",8,"3","Domestic work",6,1790,0.34,"boys"
"306",8,"3","Eat drink",10,1790,0.56,"boys"
"307",8,"3","Miscellaneous",769,1790,42.96,"boys"
"308",8,"3","Nonsocial leisure",28,1790,1.56,"boys"
"309",8,"3","Personal care",929,1790,51.9,"boys"
"310",8,"3","Religion and volunteering",1,1790,0.06,"boys"
"311",8,"3","School / Study",1,1790,0.06,"boys"
"312",8,"3","Social leisure",11,1790,0.61,"boys"
"313",8,"3","Sport exercise",5,1790,0.28,"boys"
"314",8,"3","TV/radio",27,1790,1.51,"boys"
"315",8,"4","Cultural leisure",2,1790,0.11,"boys"
"316",8,"4","Domestic work",1,1790,0.06,"boys"
"317",8,"4","Eat drink",9,1790,0.5,"boys"
"318",8,"4","Miscellaneous",539,1790,30.11,"boys"
"319",8,"4","Nonsocial leisure",4,1790,0.22,"boys"
"320",8,"4","Personal care",1224,1790,68.38,"boys"
"321",8,"4","Religion and volunteering",1,1790,0.06,"boys"
"322",8,"4","Social leisure",2,1790,0.11,"boys"
"323",8,"4","TV/radio",8,1790,0.45,"boys"
"324",9,"1","Cultural leisure",1,1790,0.06,"boys"
"325",9,"1","Domestic work",1,1790,0.06,"boys"
"326",9,"1","Eat drink",5,1790,0.28,"boys"
"327",9,"1","Miscellaneous",314,1790,17.54,"boys"
"328",9,"1","Nonsocial leisure",1,1790,0.06,"boys"
"329",9,"1","Paid work",1,1790,0.06,"boys"
"330",9,"1","Personal care",1453,1790,81.17,"boys"
"331",9,"1","Religion and volunteering",1,1790,0.06,"boys"
"332",9,"1","Social leisure",4,1790,0.22,"boys"
"333",9,"1","TV/radio",9,1790,0.5,"boys"
"334",9,"2","Cultural leisure",4,1790,0.22,"boys"
"335",9,"2","Domestic work",3,1790,0.17,"boys"
"336",9,"2","Eat drink",15,1790,0.84,"boys"
"337",9,"2","Miscellaneous",681,1790,38.04,"boys"
"338",9,"2","Nonsocial leisure",13,1790,0.73,"boys"
"339",9,"2","Paid work",4,1790,0.22,"boys"
"340",9,"2","Personal care",1033,1790,57.71,"boys"
"341",9,"2","Religion and volunteering",1,1790,0.06,"boys"
"342",9,"2","Social leisure",8,1790,0.45,"boys"
"343",9,"2","Sport exercise",1,1790,0.06,"boys"
"344",9,"2","TV/radio",27,1790,1.51,"boys"
"345",9,"3","Cultural leisure",3,1790,0.17,"boys"
"346",9,"3","Domestic work",6,1790,0.34,"boys"
"347",9,"3","Eat drink",10,1790,0.56,"boys"
"348",9,"3","Miscellaneous",769,1790,42.96,"boys"
"349",9,"3","Nonsocial leisure",28,1790,1.56,"boys"
"350",9,"3","Personal care",929,1790,51.9,"boys"
"351",9,"3","Religion and volunteering",1,1790,0.06,"boys"
"352",9,"3","School / Study",1,1790,0.06,"boys"
"353",9,"3","Social leisure",11,1790,0.61,"boys"
"354",9,"3","Sport exercise",5,1790,0.28,"boys"
"355",9,"3","TV/radio",27,1790,1.51,"boys"
"356",9,"4","Cultural leisure",2,1790,0.11,"boys"
"357",9,"4","Domestic work",1,1790,0.06,"boys"
"358",9,"4","Eat drink",9,1790,0.5,"boys"
"359",9,"4","Miscellaneous",538,1790,30.06,"boys"
"360",9,"4","Nonsocial leisure",4,1790,0.22,"boys"
"361",9,"4","Personal care",1224,1790,68.38,"boys"
"362",9,"4","Religion and volunteering",2,1790,0.11,"boys"
"363",9,"4","Social leisure",2,1790,0.11,"boys"
"364",9,"4","TV/radio",8,1790,0.45,"boys"
"365",10,"1","Cultural leisure",1,1790,0.06,"boys"
"366",10,"1","Domestic work",1,1790,0.06,"boys"
"367",10,"1","Eat drink",5,1790,0.28,"boys"
"368",10,"1","Miscellaneous",314,1790,17.54,"boys"
"369",10,"1","Nonsocial leisure",1,1790,0.06,"boys"
"370",10,"1","Paid work",1,1790,0.06,"boys"
"371",10,"1","Personal care",1453,1790,81.17,"boys"
"372",10,"1","Religion and volunteering",1,1790,0.06,"boys"
"373",10,"1","Social leisure",4,1790,0.22,"boys"
"374",10,"1","TV/radio",9,1790,0.5,"boys"
"375",10,"2","Cultural leisure",4,1790,0.22,"boys"
"376",10,"2","Domestic work",3,1790,0.17,"boys"
"377",10,"2","Eat drink",15,1790,0.84,"boys"
"378",10,"2","Miscellaneous",681,1790,38.04,"boys"
"379",10,"2","Nonsocial leisure",13,1790,0.73,"boys"
"380",10,"2","Paid work",4,1790,0.22,"boys"
"381",10,"2","Personal care",1033,1790,57.71,"boys"
"382",10,"2","Religion and volunteering",1,1790,0.06,"boys"
"383",10,"2","Social leisure",8,1790,0.45,"boys"
"384",10,"2","Sport exercise",1,1790,0.06,"boys"
"385",10,"2","TV/radio",27,1790,1.51,"boys"
"386",10,"3","Cultural leisure",3,1790,0.17,"boys"
"387",10,"3","Domestic work",6,1790,0.34,"boys"
"388",10,"3","Eat drink",10,1790,0.56,"boys"
"389",10,"3","Miscellaneous",769,1790,42.96,"boys"
"390",10,"3","Nonsocial leisure",28,1790,1.56,"boys"
"391",10,"3","Personal care",929,1790,51.9,"boys"
"392",10,"3","Religion and volunteering",1,1790,0.06,"boys"
"393",10,"3","School / Study",1,1790,0.06,"boys"
"394",10,"3","Social leisure",11,1790,0.61,"boys"
"395",10,"3","Sport exercise",5,1790,0.28,"boys"
"396",10,"3","TV/radio",27,1790,1.51,"boys"
"397",10,"4","Cultural leisure",2,1790,0.11,"boys"
"398",10,"4","Domestic work",1,1790,0.06,"boys"
"399",10,"4","Eat drink",9,1790,0.5,"boys"
"400",10,"4","Miscellaneous",538,1790,30.06,"boys"
"401",10,"4","Nonsocial leisure",4,1790,0.22,"boys"
"402",10,"4","Personal care",1224,1790,68.38,"boys"
"403",10,"4","Religion and volunteering",2,1790,0.11,"boys"
"404",10,"4","Social leisure",2,1790,0.11,"boys"
"405",10,"4","TV/radio",8,1790,0.45,"boys"
"406",11,"1","Cultural leisure",2,1790,0.11,"boys"
"407",11,"1","Domestic work",1,1790,0.06,"boys"
"408",11,"1","Eat drink",5,1790,0.28,"boys"
"409",11,"1","Miscellaneous",306,1790,17.09,"boys"
"410",11,"1","Nonsocial leisure",2,1790,0.11,"boys"
"411",11,"1","Paid work",1,1790,0.06,"boys"
"412",11,"1","Personal care",1458,1790,81.45,"boys"
"413",11,"1","Religion and volunteering",1,1790,0.06,"boys"
"414",11,"1","Social leisure",4,1790,0.22,"boys"
"415",11,"1","TV/radio",10,1790,0.56,"boys"
"416",11,"2","Cultural leisure",4,1790,0.22,"boys"
"417",11,"2","Domestic work",3,1790,0.17,"boys"
"418",11,"2","Eat drink",16,1790,0.89,"boys"
"419",11,"2","Miscellaneous",654,1790,36.54,"boys"
"420",11,"2","Nonsocial leisure",11,1790,0.61,"boys"
"421",11,"2","Paid work",4,1790,0.22,"boys"
"422",11,"2","Personal care",1057,1790,59.05,"boys"
"423",11,"2","Religion and volunteering",2,1790,0.11,"boys"
"424",11,"2","Social leisure",9,1790,0.5,"boys"
"425",11,"2","Sport exercise",1,1790,0.06,"boys"
"426",11,"2","TV/radio",29,1790,1.62,"boys"
"427",11,"3","Cultural leisure",3,1790,0.17,"boys"
"428",11,"3","Domestic work",3,1790,0.17,"boys"
"429",11,"3","Eat drink",8,1790,0.45,"boys"
"430",11,"3","Miscellaneous",748,1790,41.79,"boys"
"431",11,"3","Nonsocial leisure",22,1790,1.23,"boys"
"432",11,"3","Personal care",954,1790,53.3,"boys"
"433",11,"3","Religion and volunteering",1,1790,0.06,"boys"
"434",11,"3","School / Study",1,1790,0.06,"boys"
"435",11,"3","Social leisure",15,1790,0.84,"boys"
"436",11,"3","Sport exercise",3,1790,0.17,"boys"
"437",11,"3","TV/radio",32,1790,1.79,"boys"
"438",11,"4","Cultural leisure",3,1790,0.17,"boys"
"439",11,"4","Domestic work",1,1790,0.06,"boys"
"440",11,"4","Eat drink",8,1790,0.45,"boys"
"441",11,"4","Miscellaneous",521,1790,29.11,"boys"
"442",11,"4","Nonsocial leisure",6,1790,0.34,"boys"
"443",11,"4","Personal care",1238,1790,69.16,"boys"
"444",11,"4","Religion and volunteering",2,1790,0.11,"boys"
"445",11,"4","Social leisure",3,1790,0.17,"boys"
"446",11,"4","TV/radio",8,1790,0.45,"boys"
"447",12,"1","Cultural leisure",2,1790,0.11,"boys"
"448",12,"1","Domestic work",1,1790,0.06,"boys"
"449",12,"1","Eat drink",5,1790,0.28,"boys"
"450",12,"1","Miscellaneous",306,1790,17.09,"boys"
"451",12,"1","Nonsocial leisure",2,1790,0.11,"boys"
"452",12,"1","Paid work",1,1790,0.06,"boys"
"453",12,"1","Personal care",1458,1790,81.45,"boys"
"454",12,"1","Religion and volunteering",1,1790,0.06,"boys"
"455",12,"1","Social leisure",4,1790,0.22,"boys"
"456",12,"1","TV/radio",10,1790,0.56,"boys"
"457",12,"2","Cultural leisure",4,1790,0.22,"boys"
"458",12,"2","Domestic work",3,1790,0.17,"boys"
"459",12,"2","Eat drink",16,1790,0.89,"boys"
"460",12,"2","Miscellaneous",652,1790,36.42,"boys"
"461",12,"2","Nonsocial leisure",11,1790,0.61,"boys"
"462",12,"2","Paid work",4,1790,0.22,"boys"
"463",12,"2","Personal care",1060,1790,59.22,"boys"
"464",12,"2","Religion and volunteering",2,1790,0.11,"boys"
"465",12,"2","Social leisure",8,1790,0.45,"boys"
"466",12,"2","Sport exercise",1,1790,0.06,"boys"
"467",12,"2","TV/radio",29,1790,1.62,"boys"
"468",12,"3","Cultural leisure",3,1790,0.17,"boys"
"469",12,"3","Domestic work",3,1790,0.17,"boys"
"470",12,"3","Eat drink",9,1790,0.5,"boys"
"471",12,"3","Miscellaneous",747,1790,41.73,"boys"
"472",12,"3","Nonsocial leisure",22,1790,1.23,"boys"
"473",12,"3","Personal care",954,1790,53.3,"boys"
"474",12,"3","Religion and volunteering",1,1790,0.06,"boys"
"475",12,"3","School / Study",1,1790,0.06,"boys"
"476",12,"3","Social leisure",15,1790,0.84,"boys"
"477",12,"3","Sport exercise",3,1790,0.17,"boys"
"478",12,"3","TV/radio",32,1790,1.79,"boys"
"479",12,"4","Cultural leisure",3,1790,0.17,"boys"
"480",12,"4","Domestic work",1,1790,0.06,"boys"
